"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"5,560"
2016,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,"77,703"
2016,1,CA,"Combined Heat and Power, Commercial Power",Wind,437
2016,1,CA,"Combined Heat and Power, Electric Power",Total,"1,359,770"
2016,1,CA,"Combined Heat and Power, Electric Power",Coal,0
2016,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,"1,277,833"
2016,1,CA,"Combined Heat and Power, Electric Power",Other,"2,701"
2016,1,CA,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,"9,549"
2016,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"69,686"
2016,1,CA,"Electric Generators, Independent Power Producers",Total,"6,286,195"
2016,1,CA,"Electric Generators, Independent Power Producers",Geothermal,"955,283"
2016,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"52,944"
2016,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,"3,527,763"
2016,1,CA,"Electric Generators, Independent Power Producers",Other,"10,282"
2016,1,CA,"Electric Generators, Independent Power Producers",Petroleum,451
2016,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"741,844"
2016,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,"146,325"
2016,1,CA,"Electric Generators, Independent Power Producers",Wind,"700,295"
2016,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"151,007"
2016,1,CA,"Electric Generators, Electric Utilities",Total,"5,721,352"
2016,1,CA,"Electric Generators, Electric Utilities",Geothermal,"72,615"
2016,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,"-98,440"
2016,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,036,549"
2016,1,CA,"Electric Generators, Electric Utilities",Natural Gas,"2,955,072"
2016,1,CA,"Electric Generators, Electric Utilities",Nuclear,"1,690,198"
2016,1,CA,"Electric Generators, Electric Utilities",Other,139
2016,1,CA,"Electric Generators, Electric Utilities",Petroleum,"2,716"
2016,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"22,575"
2016,1,CA,"Electric Generators, Electric Utilities",Other Biomass,"19,534"
2016,1,CA,"Electric Generators, Electric Utilities",Wind,"20,394"
2016,1,CO,Total Electric Power Industry,Total,"4,738,146"
2016,1,CO,Total Electric Power Industry,Coal,"2,749,897"
2016,1,CO,Total Electric Power Industry,Pumped Storage,"-26,170"
2016,1,CO,Total Electric Power Industry,Hydroelectric Conventional,"180,625"
